UV,catégorie,titre,diplome,mineur,C,Cvolume,TD,TDvolume,TP,TPvolume,THE,THEvolume,PRJ,PRJvolume,ENT,ENTvolume,STG,STGvolume,periode1,periode2,antécédent,commentaires,credits,langues,objectif1,objectif2,objectif3,objectif4,objectif5,objectif6,objectif7,programme1,programme2,programme3,programme4,programme5,programme6,programme7,programme8,programme9,programme10,programme11
MQ06,TM,Modélisation des structures par éléments finis,UV ing. ou UV mast.,,C,28 h,TD,28 h,TP,12 h,THE,82 h,,,,,,,Printemps,,"MQ01, ou MQ02",Drapeau français/anglais,6 crédits,"ANG, FRA","Dimensionner des structures mécaniques passe par le calcul des champs des déplacements, des déformations et des contraintes en résolvant le problème d'équilibre. Les solutions analytiques étant impossibles à obtenir sur des géométries complexes, le recours à la méthode des éléments finis (MEF) est donc incontournable.",,,,,,,savoir poser les équations définissant l'équilibre d'une structure mécanique en élasticité linéaire,connaître les différentes méthodes de résolution de différents problèmes types,connaître la forme intégrale faible des équations d'équilibre,"connaître les principales étapes de la MEF : discrétisation géométrique, construction d¿un EF dans l'espace de référence, approximation nodale par sous-domaines, forme faible élémentaire, assemblage, introduction des CL et résolution, calcul des champs auxiliaires",savoir appliquer à des structures à barres dans l'espace (treillis),savoir appliquer à des poutres minces et épaisses et aux structures à poutres (portiques),savoir appliquer à des membranes (2D) et des massifs (3D) ,,,,
MQ07,CS,Mécanique des fluides,UV ing.,,C,28 h,TD,28 h,TP,18 h,THE,76 h,,,,,,,Automne,,,,6 crédits,FRA,étudier les propriétés des fluides,analyser et quantifier leurs influences sur les systèmes mécaniques,,,,,,connaître les propriétés des fluides,savoir effectuer les équilibres des fluides dans le cas hydrostatique,"mettre en ½uvre la cinétique des fluides (Eulérien/Lagrangien, lignes et tubes de courant)",savoir calculer les écoulements dans les fluides parfaits (non visqueux),savoir calculer les écoulements dans les fluides visqueux,,,,,,
MQ09,TM,Maillage et méthodes d'adaptation,UV ing.,,C,28 h,TD,28 h,TP,20 h,THE,74 h,PRJ,20 h,,,,,Printemps,,,Support de cours en anglais,6 crédits,FRA,"La résolution de la plupart des problèmes physiques est basée sur la méthode des éléments finis utilisant un maillage sur lequel les équations physiques sont formulées. Le maillage est en effet, au travers de sa qualité, un élément fondamental dont dépend la qualité des résultats numériques.",,,,,,,avoir les notions de base sur les éléments finis : fonctions de forme et éléments géométriques,"savoir modéliser géométriquement des courbes et des surfaces : modèles 2D, 3D surfacique et 3D volumique","connaître les généralités sur le maillage : Triangulation versus Maillage, Maillage et Eléments Finis, Estimateur d¿erreur, Adaptation de maillages","maîtriser les méthodes classiques de génération de maillage : Plan, Surface,Volume","que représente le maillage en calcul scientifique : applications à la mécanique des solides et des fluides, autres disciplines du calcul numérique",,,,,,
MQ13,CS,Thermodynamique et thermique des machines,UV ing. ou UV mast.,,C,28 h,TD,28 h,,,THE,94 h,,,,,,,Printemps,,,maîtrise du français : niveau B2 *|ouverte à l'alternance,6 crédits,FRA,maîtriser les concepts de la thermodynamique et de la thermique ,"appliquer ces concepts à des machines thermodynamiques, à des problématiques thermiques (fluides ou solides) ",,,,,"savoir modéliser les échanges d¿énergie, les changements de phases et les transformations en systèmes ouverts ou fermés ","connaître les principes de la thermodynamique, premier et deuxième principes","savoir les appliquer aux cycles thermodynamiques, afin d'en calculer les rendements, COP et efficacité ","savoir mettre en ½uvre la thermodynamique des milieux continus et notamment les différents modes de transferts thermiques (conduction, convection, radiation)","savoir appliquer  aux moteurs thermiques, turbines, machines de transfert de chaleur, échangeurs thermiques ",,,,,,,
MQ16,TM,"Dimensionnement des structures mécaniques par une approche mixte numérique/expérimentale",UV ing.,,C,28 h,TD,28 h,TP,20 h,THE,74 h,PRJ,20 h,,,,,Automne,,,,6 crédits,FRA,déterminer et analyser expérimentalement et numériquement par Elements Finis (EF) les déformations et,les contraintes dans les structures mécaniques,confronter les résultats expérimentaux et EF,optimiser les structures vis-à-vis de leurs résistances mécaniques,,,,déterminer les déformations et les contraintes dans une structure par différentes techniques expérimentales,poser correctement le problème d-équilibre de structures élastiques isotropes et anisotropes en vue de leur,modélisation par EF,maitriser l'utilisation de divers codes de calcul par EF pour simuler le comportement d-une structure déformée par des sollicitations mécaniques statiques et dynamiques,analyser les champs de déformations et des contraintes obtenus à partir d'un modèle EF,recaler les paramètres d'un modèle EF sur la base de comparaisons avec des résultats expérimentaux,optimiser une structure en utilisant les codes EF,,,,
MQ21,TM,Procédés de mise en forme des matériaux et simulations numériques,UV ing. ou UV CS pour mast.,,C,28 h,TD,28 h,TP,20 h,THE,74 h,,,,,,,Automne,,"MQ02, MQ04",ouverte à l'alternance|Maîtrise du français : * niveau B2,6 crédits,FRA,maîtriser et simuler numériquement divers procédés mécaniques de mise en forme et de fabrication,,,,,,,"connaître les aspects technologiques des procédés de mise en forme conventionnels (forgeage, laminage, emboutissage, etc.)","au travers de projets, savoir acquérir et transmettre des notions sur des procédés de mise en forme moins conventionnels",connaître les notions de base de la mécanique non-linéaire et les modèles de comportement associées,savoir caractériser et modéliser le comportement des matériaux lors de la mise en forme,"savoir simuler numériquement divers procédés mécaniques à l'aide de logiciels métiers (Abaqus, PAM-Stamp et Forge)",,,,,,
MRE01,CS,Normalisation internationale et stratégie locale,UV mast.,,C,28 h,TD,28 h,,,THE,94 h,,,,,,,Automne,,,,6 crédits,FRA,Transmettre les connaissances nécessaires à la compréhension du cadre institutionnel et normatif de la sécurité globale et de gestion durable des entreprises et des territoires afin d'en contextualiser et mesurer les enjeux et les pratiques.,,,,,,,mobiliser les acteurs institutionnels adéquats pour la conduite d'un projet en environnement et en sécurité globale,positionner son action et sa stratégie par rapport aux normes et règlementations et outils de planification en vigueur aux différents échelons territoriaux,accompagner le processus de normalisation,anticiper les modifications des normes et de la réglementation à partir des évolutions internationales et européennes et de la gouvernance locale,adapter son action et ses objectifs à l'évolution continue du cadre institutionnel et normatif ,,,,,,
MRE02,CS,Analyse et conception de systèmes soutenables et sécurisés,UV mast.,,C,28 h,TD,28 h,,,THE,94 h,PRJ,30 h,,,,,Printemps,,,,6 crédits,FRA,Transmettre les compétences nécessaires à :,la conduite d'une démarche d'analyse d'une situation complexe,l'identification du (ou des) problème(s),la recherche de solutions et à leurs conception,formalisation et l'argumentation des solutions,,maîtriser les méthodes et outils de conduite de projet afin de coordonner le travail d'équipe interdisciplinaire,réaliser l'analyse d'une situation complexe afin d'en comprendre les enjeux et d'en identifier les problèmes,rédiger un cahier des charges,"choisir la méthode de résolution de problème adaptée à la recherche de solutions (9 écrans, TRIZ, RIF, etc.)",Concevoir la ou les solutions permettant un système soutenable et sécurisé,"analyser les risques, freins et opportunités afin de formaliser la conception du système",argumenter afin de convaincre de l'intérêt du système conçu,,,,,
MRPROJ,CS,Management of research projects,UV mast.,,C,10 h,TD,10 h,TP,8 h,THE,30 h,PRJ,10 h,,,,,Automne,Printemps,,,2 crédits,"ANG, FRA","Acquérir des compétences globales de mise en place et de gestion de projets de recherche nationaux et internationaux. «recherche » est considéré au sens large : recherche fondamentale et académique, appliquée, partenariale (avec l'industrie), au sein du service R&D d'une entreprise,..",,,,,,,"Cours et séminaires sur différents sujets importants, étude de cas réels, pour apprendre à ",identifier un appel à projets et y répondre,"maitriser l'état de l'état de l'art,",mettre en place un partenariat,"mettre en ½uvre un projet : workpackages, planning,...",maitriser et gérer les financements et le budget,recruter les acteurs essentiels au projet,gérer la Propriété intellectuelle et la valorisation ,"communiquer et produire : publications, conférences, brevets, licences, prototypes,..",utiliser de façon intelligente les plateformes technologiques et les laboratoires,
MS11,TM,Mesure physique et instrumentation,UV ing.,,C,28 h,TD,28 h,TP,15 h,THE,79 h,,,,,,,Automne,Printemps,,Maîtrise du français : *   niveau B2,6 crédits,FRA,"acquérir un savoir-faire pratique de base, concernant les techniques de mesure utilisées dans les laboratoires et l'industrie (physique, mécanique, chimie, biologie)","savoir interpréter les mesures, tirer le maximum d'informations du signal mesuré, choisir l'appareil adapté à une mesure spécifique et présenter les résultats suivant les normes",,,,"comprendre les notions de dimensions, unités, unités dérivées pour une grandeur mesurable",savoir établir l'incertitude liée au type de mesure,bonne compréhension des différences entre mesure directe et indirecte,être capable de présenter un résultat de mesure suivant une norme,appréhender :,. la notion de corrélation entre grandeurs mesurées ,. l'analyse statistique sur des mesures et notion de tests d'hypothèses,. la notion de signal périodique et analyse de Fourier,. des techniques de mesures et choix des appareils,,,,
MTC01,CT,Musique Technologie et Création,UV ing.,,,,TD,28 h,,,THE,40 h,PRJ,30 h,,,,,Automne,,,Maîtrise du français : ** niveau C1 |Intervenants extérieurs supérieur ou égal à 75% ***,4 crédits,FRA,"Les techniques liées à la création, l'enregistrement et l'écoute de la musique sont en constante évolution. ","La numérisation d'un signal, sa compression, l'acoustique d'une pièce font partie des problèmes à appréhender pour dissimuler les aspects techniques à l'auditeur.",,,,,,"connaître les problèmes liés à la numérisation d¿un signal (échantillonnage, discrétisation)",connaître les bases de la compression du son,connaître les règles de base de l'acoustique,faire le lien entre les compétences du cycle ingénieur et les techniques du son,,,,,,,
